first_seen_utc,date,home,away,venue,total
2026-07-04T23:47:24Z,2026-07-05,Atlanta Braves,New York Mets,Truist Park,9.0
2026-07-04T23:47:24Z,2026-07-05,Washington Nationals,Pittsburgh Pirates,Nationals Park,9.25
2026-07-04T23:47:24Z,2026-07-05,Cincinnati Reds,Baltimore Orioles,Great American Ball Park,9.5
2026-07-04T23:47:24Z,2026-07-05,New York Yankees,Minnesota Twins,Yankee Stadium,8.5
2026-07-04T23:47:24Z,2026-07-05,Cleveland Guardians,Chicago White Sox,Progressive Field,8.5
2026-07-04T23:47:24Z,2026-07-05,Chicago Cubs,St. Louis Cardinals,Wrigley Field,8.5
2026-07-04T23:47:24Z,2026-07-05,Kansas City Royals,Philadelphia Phillies,Kauffman Stadium,9.5
2026-07-04T23:47:24Z,2026-07-05,Colorado Rockies,San Francisco Giants,Coors Field,13.0
2026-07-04T23:47:24Z,2026-07-05,Athletics,Miami Marlins,Sutter Health Park,9.5
2026-07-04T23:47:24Z,2026-07-05,Seattle Mariners,Toronto Blue Jays,T-Mobile Park,7.5
2026-07-04T23:47:24Z,2026-07-05,Los Angeles Dodgers,San Diego Padres,Dodger Stadium,9.5
2026-07-04T23:47:24Z,2026-07-05,Los Angeles Angels,Boston Red Sox,Angel Stadium,8.5
2026-07-05T23:05:17Z,2026-07-06,Kansas City Royals,Philadelphia Phillies,Kauffman Stadium,8.25
2026-07-05T23:05:17Z,2026-07-06,Washington Nationals,Houston Astros,Nationals Park,9.75
2026-07-05T23:05:17Z,2026-07-06,Atlanta Braves,New York Mets,Truist Park,8.5
2026-07-05T23:05:17Z,2026-07-06,St. Louis Cardinals,Milwaukee Brewers,Busch Stadium,8.0
2026-07-06T13:39:24Z,2026-07-06,San Diego Padres,Arizona Diamondbacks,Petco Park,8.5
2026-07-06T13:39:24Z,2026-07-06,San Francisco Giants,Toronto Blue Jays,Oracle Park,7.5
2026-07-06T13:39:24Z,2026-07-06,Los Angeles Dodgers,Colorado Rockies,Dodger Stadium,10.0
2026-07-06T23:12:17Z,2026-07-07,St. Louis Cardinals,Milwaukee Brewers,Busch Stadium,7.5
2026-07-06T23:12:17Z,2026-07-07,Baltimore Orioles,Chicago Cubs,Oriole Park at Camden Yards,9.5
2026-07-06T23:12:17Z,2026-07-07,Detroit Tigers,Athletics,Comerica Park,8.0
2026-07-06T23:12:17Z,2026-07-07,Washington Nationals,Houston Astros,Nationals Park,9.0
2026-07-06T23:12:17Z,2026-07-07,New York Mets,Kansas City Royals,Citi Field,8.0
2026-07-06T23:12:17Z,2026-07-07,San Francisco Giants,Toronto Blue Jays,Oracle Park,7.5
2026-07-06T23:12:17Z,2026-07-07,Los Angeles Dodgers,Colorado Rockies,Dodger Stadium,9.0
2026-07-07T12:23:01Z,2026-07-07,Pittsburgh Pirates,Atlanta Braves,PNC Park,8.0
2026-07-07T12:23:01Z,2026-07-07,Cincinnati Reds,Philadelphia Phillies,Great American Ball Park,9.0
2026-07-07T12:23:01Z,2026-07-07,Minnesota Twins,Cleveland Guardians,Target Field,8.5
2026-07-07T12:23:01Z,2026-07-07,Chicago White Sox,Boston Red Sox,Guaranteed Rate Field,8.5
2026-07-07T12:23:01Z,2026-07-07,San Diego Padres,Arizona Diamondbacks,Petco Park,8.5
2026-07-07T12:23:01Z,2026-07-08,San Francisco Giants,Toronto Blue Jays,Oracle Park,7.5
2026-07-07T23:05:53Z,2026-07-08,Baltimore Orioles,Chicago Cubs,Oriole Park at Camden Yards,9.0
2026-07-07T23:05:53Z,2026-07-08,Detroit Tigers,Athletics,Comerica Park,8.75
2026-07-07T23:05:53Z,2026-07-08,Pittsburgh Pirates,Atlanta Braves,PNC Park,8.5
2026-07-07T23:05:53Z,2026-07-08,Washington Nationals,Houston Astros,Nationals Park,9.0
2026-07-07T23:05:53Z,2026-07-08,Minnesota Twins,Cleveland Guardians,Target Field,8.5
2026-07-07T23:05:53Z,2026-07-08,Chicago White Sox,Boston Red Sox,Guaranteed Rate Field,8.0
2026-07-07T23:05:53Z,2026-07-08,St. Louis Cardinals,Milwaukee Brewers,Busch Stadium,8.0
2026-07-07T23:05:53Z,2026-07-08,Los Angeles Dodgers,Colorado Rockies,Dodger Stadium,10.0
2026-07-07T23:05:53Z,2026-07-08,San Diego Padres,Arizona Diamondbacks,Petco Park,7.5
2026-07-08T11:43:21Z,2026-07-08,New York Mets,Kansas City Royals,Citi Field,9.0
2026-07-08T11:43:21Z,2026-07-08,Cincinnati Reds,Philadelphia Phillies,Great American Ball Park,9.0
2026-07-08T23:12:05Z,2026-07-09,Pittsburgh Pirates,Atlanta Braves,PNC Park,9.0
2026-07-08T23:12:05Z,2026-07-09,New York Mets,Kansas City Royals,Citi Field,9.0
2026-07-08T23:12:05Z,2026-07-09,Minnesota Twins,Cleveland Guardians,Target Field,8.5
2026-07-08T23:12:05Z,2026-07-09,Chicago White Sox,Boston Red Sox,Guaranteed Rate Field,9.0
2026-07-08T23:12:05Z,2026-07-09,Baltimore Orioles,Chicago Cubs,Oriole Park at Camden Yards,9.5
2026-07-08T23:12:05Z,2026-07-09,Detroit Tigers,Athletics,Comerica Park,9.0
2026-07-08T23:12:05Z,2026-07-09,Cincinnati Reds,Philadelphia Phillies,Great American Ball Park,9.5
